PMID	PubDate	Species	TrueNegative	Notes
11795983	2002 Jan	Mouse	1	
10499542	1999 Oct	Mouse	1	Just observation not perturbation
17888690	2008 Jan	Mouse	1	
32273685	2020	Mouse	1	Plant compound
27347022	2016 Jul	Rat	1	
33752715	2021 Mar 22	Rat	1	Not a defined drug
22889498	2013	Mouse	1	
28884332	2017 Dec	Mouse	1	
32037689	2020 Mar	Rat	1	
15494188	2004 Nov	Rat	1	
15124255	2004 May	Rat	1	
19409466	2009 Jul 6	Rat	1	
31659586	2020 Feb	Rat	1	Plant compound
23833442	2013 Jan	Rat	1	
22528855	2012 Nov	Rabbit	1	
24905701	2014 Aug	Mouse	1	
34976968	2021	Rat	1	
19833177	2010 Jan 29	Rat	1	
18203067	2007 Dec	Rat	1	
30071308	2018 Oct 5	Mouse	1	
26329269	2015 Nov	Rat	1	
29693122	2018 Jun	Mouse	1	
21110395	2011 Jun	Mouse	1	
10080088	1999 Feb	Rat	1	
34217311	2021 Jul 3	Rat	1	
34960976	2021 Dec 16	Rabbit	1	
8943052	1996 Nov 26	Mouse	1	
26438631	2016 Feb	Mouse	1	
28237185	2017 Apr 11	Pig	1	
23467034	2013 May	Mouse	1	
27208420	2016 Sep	Rat	0	Is a no effect observation MIA model with anti-NGF
33774357	2021 May	Rat	1	
24966254	2014 Jul	Mouse	0	No abstract
24750874	2012 Jul 1	Rabbit	1	
32101827	2020 Mar 12	Mouse	1	
17804262	2008 Mar	Pig	1	
26166548	2015 Oct	Rat	1	
16829037	2006 Nov	Rabbit	1	
28705238	2017 Jul 14	Mouse	1	
7655998	1995 May	Mouse	1	
9730060	1998 Fall	Mouse	1	
23371349	2013 May	Mouse	1	
30271853	2017 Dec	Mouse	1	
15262241	2004 Aug	Rabbit	1	
18838280	2009 Apr	Pig	1	
29485196	2018 Jul	Mouse	1	
15501408	2004 Nov	Rabbit	1	
33672354	2021 Feb 23	Rat	1	
26586481	2016 Apr	Rat	1	
32738890	2020 Aug 1	Rat	1	
29107695	2018 Jan	Rat	1	
15649670	2005 Jan	Rat	1	
34117708	2021 Jul	Mouse	1	
33878544	2021 Aug	Mouse	1	
27601010	2017 Aug	Mouse	1	
8436117	1993 Feb 1	Mouse	1	
33774341	2021 May	Rabbit	1	
31939630	2020 Jan 15	Mouse	1	
25100783	2014 Aug 6	Mouse	1	
27737897	2017 Jan	Rat	1	
23335181	2013 Jun	Rat	1	
29393439	2018 Apr	Rat	1	
28627596	2017 Aug	Rat	1	
34126199	2021 Sep	Rat	1	
27651153	2017 Jun	Rat	1	
33480322	2021 Jun	Mouse	1	
33567474	2021 Jun	Mouse	1	
594372	1977 Oct	Rat	1	
34696628	2021 Dec	Mouse	1	
25889158	2015 Feb 26	Rabbit	1	
33437629	2021 Jan	Rabbit	1	
33376672	2021 Mar	Mouse	1	
1670072	1991	Rabbit	1	
23846837	2013 Oct	Rabbit	1	
9135825	1997 Mar	Rabbit	0	No abstract
34554160	2021 Oct 26	Rat	1	
34715362	2021 Dec	Rat	1	
10693866	2000 Feb	Mouse	1	
22645088	2012 May	Rabbit	1	
29460078	2018 Oct	Rat	1	
10792965	2000 May	Rabbit	1	
28666239	2017 Sep	Mouse	1	
31094031	2019 Jul	Mouse	1	Note this is retracted – for production these should be screened out
32433276	2020 Aug	Rat	1	
33111549	2021 Dec	Mouse	1	
5721108	1968	Rabbit	0	No abstract
8670336	1996 Jul	Pig	1	
20035055	2010 Feb	Mouse	1	
25111192	2014 Oct-Dec	Rat	0	“Microscopically, SMT reduced the severity of the cartilage lesion.”
28533592	2017 Apr	Rat	1	
19481620	2009 Sep	Mouse	1	
11550681	1994 Sep	Pig	1	
16843689	2006 Dec	Pig	1	
31040782	2019	Mouse	1	
26321377	2016 Feb	Rabbit	1	
11465708	2001 Jul	Rat	1	
3735271	1986 Jun	Rabbit	1	
18234072	2008	Rat	1	
15450534	2004 Oct	Rabbit	1	
29748647	2018 Jun	Mouse	1	
