set,model,run,field,accuracy,correct,wrong,abstain,n
development,Magistral-Small,1,outcome,0.969,217,7,0,224
development,Magistral-Small,1,induction,0.886,186,24,14,210
development,Magistral-Small,1,species,0.973,214,6,4,220
development,Magistral-Small,2,outcome,0.945,222,13,0,235
development,Magistral-Small,2,induction,0.861,192,31,12,223
development,Magistral-Small,2,species,0.974,223,6,6,229
development,Magistral-Small,3,outcome,0.945,225,13,0,238
development,Magistral-Small,3,induction,0.867,195,30,13,225
development,Magistral-Small,3,species,0.966,227,8,3,235
development,Qwen3-8B,1,outcome,0.941,206,13,2,219
development,Qwen3-8B,1,induction,0.887,172,22,27,194
development,Qwen3-8B,1,species,0.982,214,4,3,218
development,Qwen3-8B,2,outcome,0.934,198,14,1,212
development,Qwen3-8B,2,induction,0.893,167,20,26,187
development,Qwen3-8B,2,species,0.986,205,3,5,208
development,Qwen3-8B,3,outcome,0.954,208,10,0,218
development,Qwen3-8B,3,induction,0.901,172,19,27,191
development,Qwen3-8B,3,species,0.977,209,5,4,214
development,Gemma-4-12B,1,outcome,0.946,210,12,0,222
development,Gemma-4-12B,1,induction,0.878,173,24,25,197
development,Gemma-4-12B,1,species,0.986,211,3,8,214
held-out,Magistral-Small,1,outcome,0.948,237,13,0,250
held-out,Magistral-Small,1,induction,0.932,220,16,14,236
held-out,Magistral-Small,1,species,0.992,248,2,0,250
held-out,Qwen3-8B,1,outcome,0.943,198,12,0,210
held-out,Qwen3-8B,1,induction,0.921,186,16,8,202
held-out,Qwen3-8B,1,species,0.981,206,4,0,210
held-out,Gemma-4-12B,1,outcome,0.946,227,13,0,240
held-out,Gemma-4-12B,1,induction,0.912,219,21,0,240
held-out,Gemma-4-12B,1,species,0.983,236,4,0,240
