model,mode,version,normalisation,metric,value
Qwen3-8B,instruct,v1,raw,F1,0.443
Qwen3-8B,instruct,v1,raw,precision,0.462
Qwen3-8B,instruct,v1,raw,recall,0.427
Qwen3-8B,instruct,v1,HGNC,F1,0.739
Qwen3-8B,instruct,v1,HGNC,precision,0.754
Qwen3-8B,instruct,v1,HGNC,recall,0.725
Qwen3-8B,reasoning,v1,raw,F1,0.517
Qwen3-8B,reasoning,v1,raw,precision,0.491
Qwen3-8B,reasoning,v1,raw,recall,0.545
Qwen3-8B,reasoning,v1,HGNC,F1,0.777
Qwen3-8B,reasoning,v1,HGNC,precision,0.727
Qwen3-8B,reasoning,v1,HGNC,recall,0.834
Magistral-Small,reasoning,v1,raw,F1,0.554
Magistral-Small,reasoning,v1,raw,precision,0.51
Magistral-Small,reasoning,v1,raw,recall,0.607
Magistral-Small,reasoning,v1,HGNC,F1,0.794
Magistral-Small,reasoning,v1,HGNC,precision,0.725
Magistral-Small,reasoning,v1,HGNC,recall,0.877
Qwen3-8B,instruct,v2,raw,F1,0.469
Qwen3-8B,instruct,v2,raw,precision,0.52
Qwen3-8B,instruct,v2,raw,recall,0.427
Qwen3-8B,instruct,v2,HGNC,F1,0.696
Qwen3-8B,instruct,v2,HGNC,precision,0.77
Qwen3-8B,instruct,v2,HGNC,recall,0.635
Qwen3-8B,reasoning,v2,raw,F1,0.544
Qwen3-8B,reasoning,v2,raw,precision,0.542
Qwen3-8B,reasoning,v2,raw,recall,0.545
Qwen3-8B,reasoning,v2,HGNC,F1,0.808
Qwen3-8B,reasoning,v2,HGNC,precision,0.8
Qwen3-8B,reasoning,v2,HGNC,recall,0.815
Magistral-Small,reasoning,v2,raw,F1,0.536
Magistral-Small,reasoning,v2,raw,precision,0.523
Magistral-Small,reasoning,v2,raw,recall,0.55
Magistral-Small,reasoning,v2,HGNC,F1,0.795
Magistral-Small,reasoning,v2,HGNC,precision,0.767
Magistral-Small,reasoning,v2,HGNC,recall,0.825
