model,version,F1,precision,recall,F1_raw,precision_raw,recall_raw,rejected,seconds,rejected_correct,rejection_precision
Qwen3-8B,v1,0.777,0.727,0.834,0.517,0.491,0.545,67,21.14291501045227,64,0.9552
Qwen3-8B,v2,0.808,0.8,0.815,0.544,0.542,0.545,89,17.30093240737915,77,0.8652
Qwen3-8B,v3,0.81,0.824,0.796,0.598,0.608,0.588,93,31.478877305984497,83,0.8925
Qwen3-8B,v4,0.824,0.849,0.801,0.595,0.613,0.578,99,30.314878463745117,82,0.8283
Qwen3-8B,v5,0.78,0.74,0.825,0.677,0.643,0.716,75,22.186907529830933,73,0.9733
Qwen3-8B,v6lite,0.814,0.854,0.777,0.625,0.656,0.597,106,45.397810220718384,88,0.8302
Qwen3-8B,v6full,0.832,0.87,0.796,0.642,0.67,0.616,108,22.49890947341919,90,0.8333
Qwen3-8B,v7lite,0.789,0.864,0.725,0.619,0.678,0.569,117,27.201883554458618,90,0.7692
Qwen3-8B,v7full,0.798,0.854,0.749,0.606,0.649,0.569,113,22.759905338287354,90,0.7965
Magistral-Small,v1,0.794,0.725,0.877,0.554,0.51,0.607,65,100.13859987258911,64,0.9846
Magistral-Small,v2,0.795,0.767,0.825,0.536,0.523,0.55,78,89.94462728500366,72,0.9231
Magistral-Small,v3,0.821,0.805,0.839,0.62,0.606,0.635,91,54.84976577758789,84,0.9231
Magistral-Small,v4,0.848,0.848,0.848,0.597,0.597,0.597,92,56.93776559829712,85,0.9239
Magistral-Small,v5,0.766,0.695,0.853,0.746,0.678,0.829,63,120.49649286270142,62,0.9841
Magistral-Small,v6lite,0.829,0.833,0.825,0.7,0.703,0.697,102,67.24372959136963,88,0.8627
Magistral-Small,v6full,0.834,0.824,0.844,0.729,0.719,0.739,91,112.41353607177734,83,0.9121
Magistral-Small,v7lite,0.839,0.839,0.839,0.692,0.692,0.692,98,100.34459948539734,89,0.9082
Magistral-Small,v7full,0.856,0.837,0.877,0.704,0.688,0.72,93,113.65153312683105,89,0.957
