model,set,metric,value,TP,FP,FN,TN
Magistral-Small,held-out,F1,0.794,202,41,64,85
Magistral-Small,held-out,precision,0.831,202,41,64,85
Magistral-Small,held-out,recall,0.759,202,41,64,85
Magistral-Small,development,F1,0.856,185,36,26,89
Magistral-Small,development,precision,0.837,185,36,26,89
Magistral-Small,development,recall,0.877,185,36,26,89
Qwen3-8B,held-out,F1,0.714,172,44,94,85
Qwen3-8B,held-out,precision,0.796,172,44,94,85
Qwen3-8B,held-out,recall,0.647,172,44,94,85
Qwen3-8B,development,F1,0.798,158,27,53,90
Qwen3-8B,development,precision,0.854,158,27,53,90
Qwen3-8B,development,recall,0.749,158,27,53,90
Gemma-4-12B,held-out,F1,0.75,191,52,75,88
Gemma-4-12B,held-out,precision,0.786,191,52,75,88
Gemma-4-12B,held-out,recall,0.718,191,52,75,88
Gemma-4-12B,development,F1,0.811,172,41,39,90
Gemma-4-12B,development,precision,0.808,172,41,39,90
Gemma-4-12B,development,recall,0.815,172,41,39,90
