PMID,row_type,gene_gold,gene_LLM,gene_match,induction_gold,induction_LLM,induction_match,outcome_gold,outcome_LLM,outcome_match,species_gold,species_LLM,species_match
11171689,TP,COL2A1,COL2A1,yes,Ageing,Ageing,yes,Detrimental,Increased,yes,Mouse,Mice,yes
11668593,FN,COL11A2,MISSED,no,Ageing,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
14673995,TP,SMAD6,SMAD6,yes,Protease,Protease,yes,Protective,Decreased,yes,Mouse,Mice,yes
14673995,TP,SMAD7,SMAD7,yes,Protease,Protease,yes,Protective,Decreased,yes,Mouse,Mice,yes
14673995,FN,TGFB1,MISSED,no,Protease,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673995,FN,TGFB1,MISSED,no,Protease,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
14673995,FP,NONE,MLAP1,no,NONE,Protease,no,NONE,Decreased,no,NONE,Mice,no
14673995,FP,NONE,MLAP1,no,NONE,Protease,no,NONE,Increased,no,NONE,Mice,no
15334469,TP,ADAMTS4,ADAMTS4,yes,Surgical,Surgical,yes,No effect,No Change,yes,Mouse,Mice,yes
15450534,FP,NONE,FGF2,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Rabbits,no
15692987,TP,PPARG,PPARG,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Guinea pig,Guinea Pigs,yes
15818704,TP,ADAM15,ADAM15,yes,Ageing,Ageing,yes,Detrimental,Increased,yes,Mouse,Mice,yes
16394269,FN,HSPA2,MISSED,no,MIA,MISSED,no,Protective,MISSED,no,Rat,MISSED,no
16394269,FP,NONE,HSP70,no,NONE,Protease,no,NONE,Decreased,no,NONE,Rats,no
17545192,FN,LGALS3,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
17545192,FN,LGALS3,MISSED,no,MIA,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
17545192,FP,NONE,GAL3,no,NONE,MIA,no,NONE,Increased,no,NONE,Mice,no
17588960,TP,COMP,COMP,yes,Ageing,Ageing,yes,Detrimental,Increased,yes,Mouse,Mice,yes
17907189,TP,TNFRSF11B,TNFRSF11B,yes,Ageing,Surgical,no,Detrimental,Increased,yes,Mouse,Mice,yes
