PMID,row_type,gene_gold,gene_LLM,gene_match,induction_gold,induction_LLM,induction_match,outcome_gold,outcome_LLM,outcome_match,species_gold,species_LLM,species_match
10943864,FN,COL2A1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
11285272,FN,SMAD3,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
12089156,FN,FMOD,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
12089156,FN,LUM,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FN,OSM,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FN,TNF,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FN,ERRFI1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FP,NONE,Mig-6,no,NONE,Not stated,no,NONE,Increased,no,NONE,Mice,no
16431140,TP,COL2A1,Col2a1,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
16947423,TP,COL9A1,Col9a1,yes,Ageing,Not stated,abstain,Detrimental,Increased,yes,Mouse,Mice,yes
17326835,FN,LGALS3,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
17328064,TP,TIMP3,Timp3,yes,Ageing,Not stated,abstain,Detrimental,Increased,yes,Mouse,Mice,yes
17623656,FN,MMP13,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Rabbit,MISSED,no
17968948,FN,ADAMTS5,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
17968948,FP,NONE,ADAMTS-4 + ADAMTS-5,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
18344557,FN,HYAL1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
18941854,TP,BMP7,BMP7,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rabbit,Rabbits,yes
19010693,TP,ADAMTS5,Adamts5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
19342682,FN,AGER,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
19747998,FN,TNC,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
19747998,FN,TNC,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
19747998,FP,NONE,TN-C,no,NONE,Surgical,no,NONE,Increased,no,NONE,Mice,no
19747998,FP,NONE,TN-C,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
19747998,FP,NONE,TN-C,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
20187155,FN,AKT1,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
20506144,FN,PRG4,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
20506144,FP,NONE,Lubricin,no,NONE,Mechanical,no,NONE,Decreased,no,NONE,Rats,no
20506144,FP,NONE,Lubricin,no,NONE,Mechanical,no,NONE,Decreased,no,NONE,Rats,no
20506144,FP,NONE,Lubricin,no,NONE,Mechanical,no,NONE,Decreased,no,NONE,Rats,no
21368873,FN,MIA,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
21590680,TP,IL6,Il6,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
21590680,TP,IL6,Il6,yes,Ageing,Surgical,no,Detrimental,Decreased,no,Mouse,Mice,yes
21590680,FP,NONE,Epas1,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
21643724,FN,PHEX,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
21911068,FN,GSK3B,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22028304,FN,COL2A1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22057346,FN,C3,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,FN,C5,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,FN,C5,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,FN,C5,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,FN,C6,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,FN,CD59,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22057346,FN,CD59,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22143922,FN,S100A9,MISSED,no,Protease,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22143922,FN,S100A9,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
22448243,TP,COL6A1,Col6a1,yes,Ageing,Not stated,abstain,Detrimental,Decreased,no,Mouse,Mice,yes
22484689,TP,CTSK,CTSK,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Rabbits,no
22484689,TP,CTSK,CTSK,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rabbit,Rabbits,yes
23233270,FN,SOST,MISSED,no,Ageing,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
23233270,FN,SOST,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Rat,MISSED,no
23233270,FP,NONE,Sclerostin,no,NONE,Spontaneous,no,NONE,No Change,no,NONE,Mice,no
23233270,FP,NONE,Sclerostin,no,NONE,Surgical,no,NONE,No Change,no,NONE,Rats,no
23339896,TP,HSPG2,Hspg2,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
24309371,FN,TGFB1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
24309371,FP,NONE,TGF-β1,no,NONE,Transgenic,no,NONE,Increased,no,NONE,Mice,no
24386478,TP,ATRX,ATRX,yes,Ageing,Not stated,abstain,No effect,No Change,yes,Mouse,Mice,yes
24577103,TP,FGF18,Fgf18,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rat,Rats,yes
