model,params,mode,prompt,dir,n,none,fuzzy+LLM,HGNC,cascade,best,P,R,TP,FP,FN,TN,induction,outcome,species,fail,kb,closed_pct,sec
Magistral-Small,24,Thinking,v6,magi_think_v6/Magistral-Small-2509,267,0.729,0.771,0.796,0.838,0.838,0.787,0.806,170,46,41,83,0.881,0.968,0.972,1,4.970999385533708,99.62546816479401,112.41353607177734
Qwen3-8B,8,Thinking,v3,simple_8b/Qwen3-8B,267,0.598,0.646,0.761,0.81,0.81,0.775,0.749,158,46,53,83,0.852,0.942,0.969,0,4.168484462780899,100.0,31.478877305984497
Gemma-4-12B,12,Thinking,v6,gemma4_v6/gemma-4-12B-it,267,0.621,0.706,0.745,0.807,0.807,0.742,0.749,158,55,53,90,0.868,0.942,0.985,1,10.265478698501873,100.0,137.1814408302307
Qwen3.6-27B,27,Instruct,v3,qwen36_v3/Qwen3.6-27B,267,0.592,0.64,0.754,0.806,0.806,0.754,0.754,159,52,52,88,0.855,0.941,0.975,0,0.5877626111891385,0.0,20.04491424560547
Qwen3-8B,8,Thinking,v6lite,q8b_think_v6lite/Qwen3-8B,267,0.625,0.695,0.739,0.799,0.799,0.776,0.706,149,43,62,88,0.871,0.931,0.984,0,5.430565308988764,100.0,45.397810220718384
Qwen3.6-27B,27,Thinking,v3,simple_36/Qwen3.6-27B,267,0.526,0.604,0.728,0.792,0.792,0.704,0.754,159,67,52,80,0.843,0.937,0.973,0,9.64266956343633,100.0,284.0278117656708
Qwen3-8B,8,Thinking,v5,v5_think_8b/Qwen3-8B,267,0.677,0.731,0.753,0.789,0.789,0.715,0.796,168,67,43,73,0.871,0.94,0.97,0,5.177247922518727,100.0,22.186907529830933
Magistral-Small,24,Thinking,v5,magi_think_v5/Magistral-Small-2509,267,0.746,0.742,0.757,0.757,0.757,0.687,0.844,178,81,33,61,0.874,0.951,0.977,0,4.550452071629214,100.0,120.49649286270142
Qwen3-8B,8,Instruct,v3,nothink_8b/Qwen3-8B,267,0.522,0.567,0.695,0.749,0.749,0.723,0.668,141,54,70,78,0.821,0.958,0.994,0,0.5411216935861424,0.0,6.3269736766815186
Qwen3-4B-Thinking,4,Thinking,v2,dev/Qwen3-4B-Thinking-2507,175,0.544,,0.731,,0.731,0.794,0.678,143,37,68,0,0.86,0.951,0.978,2,24.818052455357144,97.71428571428571,146.35839533805847
Magistral-Small,24,Instruct,v3,magistral_v3_new/Magistral-Small-2509,267,0.532,0.58,0.681,0.731,0.731,0.665,0.697,147,74,64,76,0.846,0.929,0.973,0,0.6043788038389513,0.0,7.4649693965911865
Qwen3.5-4B,4,Instruct,v3,nothink_35/Qwen3.5-4B,267,0.451,0.514,0.647,0.705,0.705,0.655,0.64,135,71,76,79,0.865,0.952,0.981,2,0.6466160463483146,0.0,6.859971523284912
Qwen3-4B-Instruct,4,Instruct,v2,dev/Qwen3-4B-Instruct-2507,175,0.422,,0.593,,0.593,0.743,0.493,104,36,107,0,0.813,0.909,0.977,1,0.672890625,0.0,7.193969488143921
Llama-3.1-8B,8,Instruct,v3,llama31_v3/Llama-3.1-8B-Instruct,267,0.384,0.418,0.524,0.568,0.568,0.41,0.725,153,220,58,27,0.8,0.923,0.967,1,1.0322594803370786,0.0,7.298969984054565
