dir,n_files,scored,F1,P,R,TP,FP,FN,TN,induction,outcome,species,parse_fail,avg_kb,think_pct,looped,error
simple_8b/Qwen3-8B,267,267,0.598,0.608,0.588,124,80,87,83,0.838,0.941,0.974,0,4.168484462780899,100.0,0,
qwen36_think/Qwen3.6-27B,267,267,0.592,0.592,0.592,125,86,86,88,0.853,0.945,0.975,0,0.5877626111891385,0.0,0,
qwen36_v3/Qwen3.6-27B,267,267,0.592,0.592,0.592,125,86,86,88,0.853,0.945,0.975,0,0.5877626111891385,0.0,0,
dev_think_8b/Qwen3-8B,267,267,0.565,0.587,0.545,115,81,96,83,0.872,0.951,0.993,14,6.158682262406367,94.7565543071161,14,
qwen36_v4/Qwen3.6-27B,267,267,0.558,0.557,0.559,118,94,93,88,0.812,0.948,0.974,0,0.5869433227996255,0.0,0,
dev/Qwen3-4B-Thinking-2507,175,175,0.544,0.592,0.502,106,73,105,0,0.858,0.932,0.976,2,24.818052455357144,97.71428571428571,24,
qwen36_full/Qwen3.6-27B,267,267,0.536,0.515,0.559,118,111,93,73,0.842,0.931,0.979,0,0.6126119206460674,0.0,0,
simple_36/Qwen3.6-27B,267,267,0.526,0.509,0.545,115,111,96,80,0.815,0.936,0.978,0,9.64266956343633,100.0,0,
dev/Qwen3-8B,175,175,0.491,0.561,0.436,92,72,119,0,0.883,0.946,0.983,5,0.7459821428571428,0.0,0,
dev/Qwen3.5-4B,175,175,0.466,0.514,0.427,90,85,121,0,0.835,0.932,0.983,1,0.7932700892857143,0.0,0,
dev/Qwen3-4B-Instruct-2507,175,175,0.422,0.529,0.351,74,66,137,0,0.79,0.874,0.979,1,0.672890625,0.0,0,
simple_35/Qwen3.5-4B,101,101,0.33,0.526,0.24,30,27,95,0,0.805,0.929,1.0,38,43.02137801670792,50.495049504950494,56,
dev_think_35/Qwen3.5-4B,253,253,0.175,0.55,0.104,22,18,189,78,0.913,0.957,1.0,123,32.066796103013836,29.64426877470356,175,
