PMID,row_type,gene_gold,gene_LLM,gene_match,induction_gold,induction_LLM,induction_match,outcome_gold,outcome_LLM,outcome_match,species_gold,species_LLM,species_match
10806052,FP,NONE,COMP,no,NONE,Transgenic,no,NONE,Increased,no,NONE,Mice,no
10943864,TP,COL2A1,COL2A1,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
11285272,TP,SMAD3,SMAD3,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
11677139,FP,NONE,MMP9,no,NONE,Not stated,no,NONE,Not stated,no,NONE,Not stated,no
11677139,FP,NONE,MMP13,no,NONE,Not stated,no,NONE,Not stated,no,NONE,Not stated,no
11680693,FP,NONE,RUNX2,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
12089156,TP,FMOD,FMOD,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
12089156,TP,LUM,LUM,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
14673992,TP,OSM,OSM,yes,Ageing,Chemical,no,Detrimental,Increased,yes,Mouse,Mice,yes
14673992,TP,TNF,TNF,yes,Ageing,Chemical,no,Detrimental,Increased,yes,Mouse,Mice,yes
15607881,FP,NONE,IL1B,no,NONE,Chemical,no,NONE,Increased,no,NONE,Pigs,no
16087873,FN,ERRFI1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FP,NONE,MIG6,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
16431140,TP,COL2A1,COL2A1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
16632350,FP,NONE,MAPK14,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Rats,no
16947423,TP,COL9A1,COL9A1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
17326835,FN,LGALS3,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
17326835,FP,NONE,GAL3,no,NONE,Chemical,no,NONE,Increased,no,NONE,Mice,no
17328064,TP,TIMP3,TIMP3,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
17623656,TP,MMP13,MMP13,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Rabbit,Rats,no
17968948,TP,ADAMTS5,ADAMTS5,yes,Surgical,Spontaneous,no,Protective,No Change,no,Mouse,Mice,yes
17968948,FP,NONE,ADAMTS4,no,NONE,Spontaneous,no,NONE,No Change,no,NONE,Mice,no
17968948,FP,NONE,ADAMTS4,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
18344557,TP,HYAL1,HYAL1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
18941854,TP,BMP7,BMP7,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rabbit,Rabbits,yes
19010693,TP,ADAMTS5,ADAMTS5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
19293161,FP,NONE,TNF,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Rats,no
19342682,FN,AGER,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
19342682,FP,NONE,RAGE,no,NONE,Surgical,no,NONE,No Change,no,NONE,Mice,no
19747998,TP,TNC,TNC,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
19747998,TP,TNC,TNC,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
20187155,TP,AKT1,AKT1,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
20506144,TP,PRG4,PRG4,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Rats,no
20621685,FP,NONE,TRPV1,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Rats,no
21368873,TP,MIA,MIA,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
21590680,TP,IL6,IL6,yes,Surgical,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
21590680,TP,IL6,IL6,yes,Ageing,Chemical,no,Detrimental,Decreased,no,Mouse,Mice,yes
21590680,FP,NONE,EPAS1,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
21590680,FP,NONE,EPAS1,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
21643724,TP,PHEX,PHEX,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
21911068,TP,GSK3B,GSK3B,yes,Ageing,Chemical,no,Detrimental,Increased,yes,Mouse,Rats,no
22028304,TP,COL2A1,COL2A1,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
22057346,FN,C3,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,TP,C5,C5,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C5,C5,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C5,C5,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C6,C6,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,FN,CD59,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22057346,FN,CD59,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22057346,FP,NONE,CD59A,no,NONE,Not stated,no,NONE,Decreased,no,NONE,Mice,no
22143922,TP,S100A9,S100A9,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
22143922,TP,S100A9,S100A9,yes,Surgical,Chemical,no,No effect,Decreased,no,Mouse,Mice,yes
22448243,TP,COL6A1,COL6A1,yes,Ageing,Spontaneous,yes,Detrimental,Decreased,no,Mouse,Mice,yes
22484689,TP,CTSK,CTSK,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Rabbits,no
22484689,TP,CTSK,CTSK,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rabbit,Rabbits,yes
23233270,TP,SOST,SOST,yes,Ageing,Spontaneous,yes,No effect,No Change,yes,Mouse,Mice,yes
