model,params,mode,prompt,dir,n,rejected,none,fuzzy+LLM,HGNC v1,HGNC v2,cascade,best,P,R,TP,FP,FN,TN,induction,outcome,species,fail
Magistral-Small,24,Thinking,v7full,magi_think_v7full/Magistral-Small-2509,267,93,0.704,,,0.856,,0.856,0.837,0.877,185,36,26,89,0.888,0.941,0.974,2
Magistral-Small,24,Thinking,v4,magi_think_v4/Magistral-Small-2509,267,92,0.597,,0.782,0.848,,0.848,0.848,0.848,179,32,32,85,0.876,0.946,0.981,0
Magistral-Small,24,Thinking,v7lite,magi_think_v7lite/Magistral-Small-2509,267,98,0.692,,,0.839,,0.839,0.839,0.839,177,34,34,89,0.907,0.969,0.965,0
Magistral-Small,24,Thinking,v6full,magi_think_v6/Magistral-Small-2509,267,91,0.729,0.771,0.796,0.834,0.838,0.838,0.824,0.844,178,38,33,83,0.886,0.969,0.973,1
Qwen3-8B,8,Thinking,v6full,q8b_think_v6full/Qwen3-8B,267,108,0.642,,0.76,0.832,,0.832,0.87,0.796,168,25,43,90,0.887,0.941,0.982,0
Magistral-Small,24,Thinking,v6lite,magi_think_v6lite/Magistral-Small-2509,267,102,0.7,,0.786,0.829,,0.829,0.833,0.825,174,35,37,88,0.856,0.947,0.973,0
Qwen3.6-27B,27,Instruct,v3,qwen36_v3/Qwen3.6-27B,267,98,0.592,0.64,0.754,0.825,0.806,0.825,0.825,0.825,174,37,37,88,0.861,0.941,0.968,0
Qwen3-8B,8,Thinking,v4,qthink_v4/Qwen3-8B,267,99,0.595,,0.756,0.824,,0.824,0.849,0.801,169,30,42,82,0.848,0.95,0.98,0
Magistral-Small,24,Thinking,v3,magi_think_v3/Magistral-Small-2509,267,91,0.62,,0.764,0.821,,0.821,0.805,0.839,177,43,34,83,0.834,0.941,0.977,0
Qwen3.6-27B,27,Thinking,v3,simple_36/Qwen3.6-27B,267,85,0.526,0.604,0.728,0.815,0.792,0.815,0.788,0.844,178,48,33,80,0.855,0.939,0.976,0
Qwen3-8B,8,Thinking,v6lite,q8b_think_v6lite/Qwen3-8B,267,106,0.625,0.695,0.739,0.814,0.799,0.814,0.854,0.777,164,28,47,88,0.882,0.937,0.985,0
Gemma-4-12B,12,Thinking,v6full,gemma4_v6/gemma-4-12B-it,267,104,0.621,0.706,0.745,0.811,0.807,0.811,0.808,0.815,172,41,39,90,0.878,0.946,0.986,1
Qwen3-8B,8,Thinking,v3,simple_8b/Qwen3-8B,267,93,0.598,0.646,0.761,0.81,0.81,0.81,0.824,0.796,168,36,43,83,0.86,0.94,0.97,0
Qwen3-8B,8,Thinking,v2,qthink_v2/Qwen3-8B,267,89,0.544,,0.737,0.808,,0.808,0.8,0.815,172,43,39,77,0.886,0.943,0.971,1
Qwen3-4B-Thinking,4,Thinking,v2,dev/Qwen3-4B-Thinking-2507,175,18,0.544,,0.731,0.803,,0.803,0.872,0.744,157,23,54,0,0.872,0.955,0.979,2
Qwen3-8B,8,Thinking,v7full,q8b_think_v7full/Qwen3-8B,267,113,0.606,,,0.798,,0.798,0.854,0.749,158,27,53,90,0.91,0.946,0.995,0
Magistral-Small,24,Thinking,v2,magi_think_v2/Magistral-Small-2509,267,78,0.536,,0.731,0.795,,0.795,0.767,0.825,174,53,37,71,0.888,0.95,0.986,0
Magistral-Small,24,Thinking,v1,magi_think_v1/Magistral-Small-2509,267,65,0.554,,0.738,0.794,,0.794,0.725,0.877,185,70,26,62,0.882,0.948,0.0,0
Qwen3-8B,8,Thinking,v5,v5_think_8b/Qwen3-8B,267,75,0.677,0.731,0.753,0.78,0.789,0.789,0.74,0.825,174,61,37,73,0.875,0.942,0.971,0
Qwen3-8B,8,Thinking,v7lite,q8b_think_v7lite/Qwen3-8B,267,117,0.619,,,0.789,,0.789,0.864,0.725,153,24,58,90,0.843,0.942,0.984,0
Qwen3-8B,8,Thinking,v1,qthink_v1/Qwen3-8B,267,67,0.517,,0.711,0.777,,0.777,0.727,0.834,176,66,35,64,0.868,0.93,0.0,0
Magistral-Small,24,Thinking,v5,magi_think_v5/Magistral-Small-2509,267,63,0.746,0.742,0.757,0.766,0.757,0.766,0.695,0.853,180,79,31,61,0.876,0.951,0.977,0
Qwen3-8B,8,Instruct,v5,psweep_v5/Qwen3-8B,267,70,0.643,,0.736,0.762,,0.762,0.712,0.82,173,70,38,64,0.935,0.93,0.977,0
Qwen3-8B,8,Instruct,v3,psweep_v3/Qwen3-8B,267,100,0.518,,0.692,0.76,,0.76,0.777,0.744,157,45,54,77,0.834,0.95,0.989,1
Qwen3-8B,8,Instruct,v6full,psweep_v6full/Qwen3-8B,267,116,0.565,,0.709,0.754,,0.754,0.785,0.725,153,42,58,88,0.835,0.936,0.985,0
Qwen3-8B,8,Instruct,v4,psweep_v4/Qwen3-8B,267,93,0.51,,0.683,0.75,,0.75,0.761,0.739,156,49,55,72,0.863,0.939,0.989,0
Magistral-Small,24,Instruct,v3,magistral_v3_new/Magistral-Small-2509,267,91,0.532,0.58,0.681,0.749,0.731,0.749,0.735,0.763,161,58,50,76,0.858,0.93,0.975,0
Qwen3.5-4B,4,Instruct,v3,nothink_35/Qwen3.5-4B,267,93,0.451,0.514,0.647,0.739,0.705,0.739,0.748,0.73,154,52,57,79,0.87,0.952,0.984,2
Qwen3-8B,8,Instruct,v1,psweep_v1/Qwen3-8B,267,89,0.443,,0.681,0.739,,0.739,0.754,0.725,153,50,58,69,0.853,0.95,0.0,7
Qwen3-8B,8,Instruct,v5 k=0,dyn_k0/Qwen3-8B,267,69,0.538,,0.692,0.726,,0.726,0.661,0.806,170,87,41,63,0.91,0.936,0.975,0
Qwen3-8B,8,Instruct,v5 k=3,dyn_k3/Qwen3-8B,267,56,0.565,,0.696,0.722,,0.722,0.65,0.81,171,92,40,53,0.874,0.938,0.976,0
Qwen3-8B,8,Instruct,v5 k=5,dyn_k5/Qwen3-8B,267,44,0.536,,0.679,0.699,,0.699,0.615,0.81,171,107,40,40,0.857,0.932,0.99,0
Qwen3-8B,8,Instruct,v2,psweep_v2/Qwen3-8B,267,116,0.469,,0.634,0.696,,0.696,0.77,0.635,134,40,77,78,0.902,0.957,0.976,2
Qwen3-4B-Instruct,4,Instruct,v2,dev/Qwen3-4B-Instruct-2507,175,58,0.422,,0.593,0.667,,0.667,0.836,0.555,117,23,94,0,0.824,0.918,0.973,1
Qwen3-8B,8,Instruct,v6lite,psweep_v6lite/Qwen3-8B,267,178,0.481,,0.543,0.58,,0.58,0.832,0.445,94,19,117,92,0.86,0.931,0.992,0
Llama-3.1-8B,8,Instruct,v3,llama31_v3/Llama-3.1-8B-Instruct,267,27,0.384,0.418,0.524,0.576,0.568,0.576,0.452,0.796,168,204,43,27,0.818,0.925,0.97,1
