dir,change,count
results/magi_think_v5/Magistral-Small-2509,RIP3 -> RIPK3,2
results/magi_think_v5/Magistral-Small-2509,MIG6 -> ERRFI1,2
results/magi_think_v5/Magistral-Small-2509,ZCCHC6 -> TUT7,1
results/magi_think_v5/Magistral-Small-2509,TNNC -> TNNC1,1
results/magi_think_v5/Magistral-Small-2509,TGC -> TGM2,1
results/magi_think_v5/Magistral-Small-2509,LPA1 -> LPAR1,2
results/magi_think_v5/Magistral-Small-2509,Chondroitin sulfate -> CHONDROITINSULFATE,2
results/magi_think_v5/Magistral-Small-2509,glucosamine sulfate -> GLUCOSAMINESULFATE,1
results/magi_think_v5/Magistral-Small-2509,glucosamine hydrochloride -> GLUCOSAMINEHYDROCHLORIDE,1
results/magi_think_v5/Magistral-Small-2509,IL1F9 -> IL36G,3
