PMID,row_type,gene_gold,gene_LLM,gene_match,induction_gold,induction_LLM,induction_match,outcome_gold,outcome_LLM,outcome_match,species_gold,species_LLM,species_match
10943864,FN,COL2A1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
10943864,FP,NONE,TYPEII COLLAGEN,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
11285272,TP,SMAD3,SMAD3,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
12089156,FN,FMOD,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
12089156,FN,LUM,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FN,OSM,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FN,TNF,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FN,ERRFI1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FP,NONE,MIG6,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
16431140,TP,COL2A1,COL2A1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
16947423,TP,COL9A1,COL9A1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
17326835,FN,LGALS3,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
17326835,FP,NONE,GALECTIN3,no,NONE,Not stated,no,NONE,Increased,no,NONE,Mice,no
17328064,TP,TIMP3,TIMP3,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
17623656,TP,MMP13,MMP13,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Rabbit,Rats,no
17968948,TP,ADAMTS5,ADAMTS5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
17968948,FP,NONE,ADAMTS4,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
18344557,TP,HYAL1,HYAL1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
18941854,TP,BMP7,BMP7,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rabbit,Rabbits,yes
19010693,TP,ADAMTS5,ADAMTS5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
19293161,FP,NONE,TNF,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Rats,no
19293161,FP,NONE,TNF,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Rabbits,no
19342682,FN,AGER,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
19342682,FP,NONE,RAGE,no,NONE,Surgical,no,NONE,No Change,no,NONE,Mice,no
19747998,FN,TNC,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
19747998,FN,TNC,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
19747998,FP,NONE,TENASCINC,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
19747998,FP,NONE,TENASCINC,no,NONE,Surgical,no,NONE,Increased,no,NONE,Mice,no
20187155,TP,AKT1,AKT1,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
20506144,TP,PRG4,PRG4,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Rats,no
20506144,FP,NONE,LUBRICIN,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Rats,no
21368873,FN,MIA,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
21368873,FP,NONE,MIACDRAP,no,NONE,Not stated,no,NONE,Decreased,no,NONE,Mice,no
21590680,TP,IL6,IL6,yes,Surgical,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
21590680,TP,IL6,IL6,yes,Ageing,Chemical,no,Detrimental,Decreased,no,Mouse,Mice,yes
21590680,FP,NONE,EPAS1,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
21590680,FP,NONE,EPAS1,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
21643724,FN,PHEX,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
21911068,FN,GSK3B,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22028304,TP,COL2A1,COL2A1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
22057346,FN,C3,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,TP,C5,C5,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C5,C5,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C5,C5,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C6,C6,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,CD59,CD59,yes,Surgical,Not stated,abstain,Detrimental,Decreased,no,Mouse,Mice,yes
22057346,TP,CD59,CD59,yes,Surgical,Not stated,abstain,Detrimental,Decreased,no,Mouse,Mice,yes
22143922,TP,S100A9,S100A9,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
22143922,TP,S100A9,S100A9,yes,Surgical,Chemical,no,No effect,Decreased,no,Mouse,Mice,yes
22448243,TP,COL6A1,COL6A1,yes,Ageing,Spontaneous,yes,Detrimental,Decreased,no,Mouse,Mice,yes
22484689,FN,CTSK,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22484689,FN,CTSK,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Rabbit,MISSED,no
22484689,FP,NONE,CTSS,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Rabbits,no
22484689,FP,NONE,CTSS,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
23233270,FN,SOST,MISSED,no,Ageing,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
23233270,FN,SOST,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Rat,MISSED,no
23233270,FP,NONE,SCLEROSTIN,no,NONE,Spontaneous,no,NONE,No Change,no,NONE,Mice,no
23233270,FP,NONE,SCLEROSTIN,no,NONE,Chemical,no,NONE,No Change,no,NONE,Rats,no
23233270,FP,NONE,SCLEROSTIN,no,NONE,Surgical,no,NONE,No Change,no,NONE,Rats,no
23233270,FP,NONE,SCLEROSTIN,no,NONE,Surgical,no,NONE,No Change,no,NONE,Rats,no
23339896,TP,HSPG2,HSPG2,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
24309371,FN,TGFB1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
24309371,FP,NONE,TGFβ1,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
24386478,TP,ATRX,ATRX,yes,Ageing,Spontaneous,yes,No effect,No Change,yes,Mouse,Mice,yes
24577103,TP,FGF18,FGF18,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rat,Rats,yes
24757033,FN,GSK3B,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
24757033,FP,NONE,GSK3,no,NONE,Surgical,no,NONE,Increased,no,NONE,Mice,no
24966136,FN,ERRFI1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
24966136,FP,NONE,MIG6,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
24999110,TP,VHL,VHL,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
24999110,TP,VHL,VHL,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
25080367,TP,DKK1,DKK1,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
25135253,TP,CXCR2,CXCR2,yes,Surgical,Surgical,yes,Detrimental,Increased,yes,Mouse,Mice,yes
25200274,FN,F2R,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
25200274,FN,F2RL1,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
25200274,FP,NONE,PAR1,no,NONE,Surgical,no,NONE,No Change,no,NONE,Mice,no
25200274,FP,NONE,PAR2,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
25628784,TP,RUNX2,RUNX2,yes,Exercise,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
25889639,TP,BMP7,BMP7,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
25969431,TP,S100A9,S100A9,yes,Surgical,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
25969431,TP,S100A9,S100A9,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
26687826,TP,APOE,APOE,yes,Protease,Chemical,yes,Detrimental,Increased,yes,Mouse,Mice,yes
26687826,FP,NONE,S100A9,no,NONE,Chemical,no,NONE,Increased,no,NONE,Mice,no
26698846,FN,F2RL1,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
26698846,FP,NONE,PAR2,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
26698846,FP,NONE,PAR2,no,NONE,Surgical,no,NONE,Increased,no,NONE,Mice,no
26783110,TP,PRKCD,PRKCD,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
26837060,FN,TGFB1,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
26837060,FP,NONE,TGFB,no,NONE,Not stated,no,NONE,Decreased,no,NONE,Not stated,no
26851314,TP,CXCR4,CXCR4,yes,MIA,Chemical,yes,Protective,Decreased,yes,Rat,Rats,yes
26903297,FN,XDH,MISSED,no,High Fat Diet,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
26903297,FP,NONE,XOR,no,NONE,Metabolic,no,NONE,Decreased,no,NONE,Mice,no
27041213,TP,FGFR1,FGFR1,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
27052304,FN,MTOR,MISSED,no,Protease,MISSED,no,Protective,MISSED,no,Rabbit,MISSED,no
27147711,TP,WNT16,WNT16,yes,Surgical,Surgical,yes,Detrimental,Increased,yes,Mouse,Mice,yes
27270603,TP,MATN1,MATN1,yes,Surgical,Surgical,yes,Detrimental,Increased,yes,Mouse,Mice,yes
27322244,TP,CXCR4,CXCR4,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
27345362,FN,CALCA,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Rat,MISSED,no
27345362,FP,NONE,TGFB1,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Rats,no
27388701,TP,TRPV4,TRPV4,yes,Surgical,Spontaneous,no,No effect,Decreased,no,Mouse,Mice,yes
27388701,TP,TRPV4,TRPV4,yes,Ageing,Spontaneous,yes,Protective,Decreased,yes,Mouse,Mice,yes
27539076,FN,IL1RN,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Rat,MISSED,no
27539076,FP,NONE,IL1RA,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Rats,no
27541035,FN,TNFRSF11B,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
27541035,FP,NONE,OPG,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
27564840,TP,MIF,MIF,yes,Ageing,Spontaneous,yes,Protective,Decreased,yes,Mouse,Mice,yes
27564840,TP,MIF,MIF,yes,Surgical,Spontaneous,no,No effect,Decreased,no,Mouse,Mice,yes
27681622,FN,RELA,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
27830706,TP,RELA,RELA,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
27830706,TP,RELA,RELA,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
27911782,TP,EGFR,EGFR,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
27911782,TP,EGFR,EGFR,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
27965260,TP,CCL2,CCL2,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
27965260,TP,CCL2,CCL2,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
27965260,TP,CCL5,CCL5,yes,Surgical,Surgical,yes,No effect,No Change,yes,Mouse,Mice,yes
27965260,TP,CCR2,CCR2,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
27965260,TP,CCR2,CCR2,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
27965260,TP,CCR5,CCR5,yes,Surgical,Surgical,yes,No effect,No Change,yes,Mouse,Mice,yes
28128866,FN,CDKN1A,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
28128866,FP,NONE,P21,no,NONE,Surgical,no,NONE,Increased,no,NONE,Mice,no
28165497,TP,WNT7A,WNT7A,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
28348422,FN,OLR1,MISSED,no,Ageing,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
28348422,FP,NONE,LOX1,no,NONE,Spontaneous,no,NONE,Decreased,no,NONE,Mice,no
28383548,TP,mir-146a,MIR-146A,yes,Ageing,Spontaneous,yes,Protective,Decreased,yes,Mouse,Mice,yes
28383548,TP,mir-146a,MIR-146A,yes,Surgical,Spontaneous,no,Protective,Decreased,yes,Mouse,Mice,yes
28627522,TP,DOT1L,DOT1L,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
28627522,FP,NONE,SIRT1,no,NONE,Spontaneous,no,NONE,Decreased,no,NONE,Mice,no
28716756,FN,TGFBR1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
28716756,FP,NONE,ALK5,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
28743292,TP,A2M,A2M,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rat,Rats,yes
28765635,TP,HYAL2,HYAL2,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
28767178,TP,CCR7,CCR7,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
28823646,FN,LEPR,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Rat,MISSED,no
28823646,FP,NONE,OB-RB,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Rats,no
28835277,FP,NONE,NEUTROPHIL ELASTASE,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
28835277,FP,NONE,PAR2,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
28835277,FP,NONE,PAR2,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
28898438,TP,COL11A1,COL11A1,yes,Surgical,Mechanical,no,Detrimental,Decreased,no,Mouse,Mice,yes
29205898,FN,PTGS2,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Rabbit,MISSED,no
29219023,FN,TNC,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
29247173,TP,ESRRG,ESRRG,yes,Surgical,Not stated,abstain,Detrimental,Increased,yes,Mouse,Mice,yes
29247173,TP,ESRRG,ESRRG,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
29247173,TP,ESRRG,ESRRG,yes,Ageing,Not stated,abstain,Detrimental,Increased,yes,Mouse,Mice,yes
29247173,TP,ESRRG,ESRRG,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
29247173,TP,ESRRG,ESRRG,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Mice,yes
29323130,TP,OPTC,OPTC,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
29440889,TP,IHH,IHH,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rat,Rats,yes
29444976,TP,FOXO1,FOXO1,yes,Exercise,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
29444976,TP,FOXO1,FOXO1,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
29444976,TP,FOXO1,FOXO1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
29444976,TP,FOXO3,FOXO3,yes,Exercise,Spontaneous,no,Detrimental,No Change,no,Mouse,Mice,yes
29444976,TP,FOXO3,FOXO3,yes,Surgical,Spontaneous,no,Detrimental,No Change,no,Mouse,Mice,yes
29444976,TP,FOXO3,FOXO3,yes,Ageing,Spontaneous,yes,Detrimental,No Change,no,Mouse,Mice,yes
29444976,TP,FOXO4,FOXO4,yes,Exercise,Spontaneous,no,Detrimental,No Change,no,Mouse,Mice,yes
29444976,TP,FOXO4,FOXO4,yes,Surgical,Spontaneous,no,Detrimental,No Change,no,Mouse,Mice,yes
29444976,TP,FOXO4,FOXO4,yes,Ageing,Spontaneous,yes,Detrimental,No Change,no,Mouse,Mice,yes
29524442,FN,MAPK14,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
29622035,TP,CCL17,CCL17,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
29622035,TP,CCL17,CCL17,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
29622035,TP,CCR4,CCR4,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
29622035,TP,IRF4,IRF4,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
29622035,FN,KDM6B,MISSED,no,Protease,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
29622035,FN,PTGS2,MISSED,no,Protease,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
29622035,TP,TNF,TNF,yes,Protease,Chemical,yes,No effect,Decreased,no,Mouse,Mice,yes
29622035,FP,NONE,GM-CSF,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
29622035,FP,NONE,JMJD3,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
29736207,TP,IL6,IL6,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Mouse,Not stated,abstain
29736207,FN,STAT3,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
30070692,TP,AXIN1,AXIN1,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
30106092,TP,mir-204,MIR-204,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rat,Rats,yes
30144298,FN,FLT4,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
