PMID,row_type,gene_gold,gene_LLM,gene_match,induction_gold,induction_LLM,induction_match,outcome_gold,outcome_LLM,outcome_match,species_gold,species_LLM,species_match
10943864,FN,COL2A1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
11285272,TP,SMAD3,Smad3,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
12089156,FN,FMOD,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
12089156,FN,LUM,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
12089156,FP,NONE,Lum + Fmod,no,NONE,Spontaneous,no,NONE,Increased,no,NONE,Mice,no
14673992,FN,OSM,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FN,TNF,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
14673992,FP,NONE,OSM + TNFalpha,no,NONE,Not stated,no,NONE,Increased,no,NONE,Mice,no
16087873,FN,ERRFI1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
16087873,FP,NONE,Mig-6,no,NONE,Transgenic,no,NONE,Increased,no,NONE,Mice,no
16431140,TP,COL2A1,Col2a1,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
16947423,TP,COL9A1,Col9a1,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
17326835,FN,LGALS3,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
17326835,FP,NONE,Galectin-3,no,NONE,Chemical,no,NONE,Increased,no,NONE,Mice,no
17328064,TP,TIMP3,Timp3,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
17623656,TP,MMP13,MMP13,yes,Surgical,Not stated,abstain,Protective,Decreased,yes,Rabbit,Rats,no
17968948,FN,ADAMTS5,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
17968948,FP,NONE,Adamts4 + Adamts5,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
18344557,TP,HYAL1,Hyal1,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
18941854,TP,BMP7,BMP7,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rabbit,Rabbits,yes
19010693,TP,ADAMTS5,Adamts5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
19342682,FN,AGER,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
19747998,TP,TNC,Tnc,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
19747998,TP,TNC,Tnc,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
20187155,TP,AKT1,Akt1,yes,Surgical,Surgical,yes,Protective,No Change,no,Mouse,Mice,yes
20506144,TP,PRG4,PRG4,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Rats,no
21368873,FN,MIA,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
21368873,FP,NONE,MIA/CD-RAP,no,NONE,Not stated,no,NONE,Not stated,no,NONE,Mice,no
21590680,TP,IL6,Il6,yes,Surgical,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
21590680,TP,IL6,Il6,yes,Ageing,Chemical,no,Detrimental,Decreased,no,Mouse,Mice,yes
21590680,FP,NONE,Epas1,no,NONE,Chemical,no,NONE,Decreased,no,NONE,Mice,no
21643724,FN,PHEX,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
21911068,TP,GSK3B,Gsk3b,yes,Ageing,Chemical,no,Detrimental,Increased,yes,Mouse,Rats,no
22028304,TP,COL2A1,Col2a1,yes,Ageing,Transgenic,yes,Detrimental,Increased,yes,Mouse,Mice,yes
22057346,FN,C3,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22057346,TP,C5,C5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C5,C5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C5,C5,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
22057346,TP,C6,C6,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
22057346,FN,CD59,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22057346,FN,CD59,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
22057346,FP,NONE,CD59a,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
22057346,FP,NONE,Complement,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
22143922,TP,S100A9,S100A9,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
22143922,TP,S100A9,S100A9,yes,Surgical,Chemical,no,No effect,Decreased,no,Mouse,Mice,yes
22448243,TP,COL6A1,Col6a1,yes,Ageing,Spontaneous,yes,Detrimental,Decreased,no,Mouse,Mice,yes
22484689,FN,CTSK,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
22484689,FN,CTSK,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Rabbit,MISSED,no
22484689,FP,NONE,Cathepsin K,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Rabbits,no
22484689,FP,NONE,Cathepsin K,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
23233270,TP,SOST,Sost,yes,Ageing,Spontaneous,yes,No effect,No Change,yes,Mouse,Mice,yes
23233270,TP,SOST,Sost,yes,Surgical,Spontaneous,no,No effect,No Change,yes,Rat,Mice,no
23339896,TP,HSPG2,Hspg2,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Mouse,Mice,yes
24309371,FN,TGFB1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
24309371,FP,NONE,TGF-β1,no,NONE,Transgenic,no,NONE,Increased,no,NONE,Mice,no
24386478,TP,ATRX,Atrx,yes,Ageing,Not stated,abstain,No effect,No Change,yes,Mouse,Mice,yes
24577103,TP,FGF18,Fgf18,yes,Surgical,Surgical,yes,Protective,Decreased,yes,Rat,Rats,yes
24757033,FN,GSK3B,MISSED,no,Surgical,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
24757033,FP,NONE,GSK-3,no,NONE,Surgical,no,NONE,Increased,no,NONE,Mice,no
24966136,FN,ERRFI1,MISSED,no,Ageing,MISSED,no,Detrimental,MISSED,no,Mouse,MISSED,no
24966136,FP,NONE,Mig6,no,NONE,Transgenic,no,NONE,Increased,no,NONE,Mice,no
24999110,TP,VHL,Vhl,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
24999110,TP,VHL,Vhl,yes,Surgical,Spontaneous,no,Detrimental,Increased,yes,Mouse,Mice,yes
25080367,FN,DKK1,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
25080367,FP,NONE,Dkk-1,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
25135253,TP,CXCR2,CXCR2,yes,Surgical,Surgical,yes,Detrimental,Increased,yes,Mouse,Mice,yes
25200274,FN,F2R,MISSED,no,Surgical,MISSED,no,No effect,MISSED,no,Mouse,MISSED,no
25200274,FN,F2RL1,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
25200274,FP,NONE,PAR-1,no,NONE,Surgical,no,NONE,No Change,no,NONE,Mice,no
25200274,FP,NONE,PAR-2,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
25628784,TP,RUNX2,Runx2,yes,Exercise,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
25889639,TP,BMP7,Bmp7,yes,Ageing,Spontaneous,yes,Detrimental,Increased,yes,Mouse,Mice,yes
25969431,TP,S100A9,S100A9,yes,Surgical,Chemical,no,Protective,Decreased,yes,Mouse,Mice,yes
25969431,TP,S100A9,S100A9,yes,Protease,Chemical,yes,Protective,Decreased,yes,Mouse,Mice,yes
26687826,TP,APOE,Apoe,yes,Protease,Chemical,yes,Detrimental,Increased,yes,Mouse,Mice,yes
26687826,FP,NONE,S100a9,no,NONE,Chemical,no,NONE,No Change,no,NONE,Mice,no
26698846,FN,F2RL1,MISSED,no,Surgical,MISSED,no,Protective,MISSED,no,Mouse,MISSED,no
26698846,FP,NONE,PAR2,no,NONE,Surgical,no,NONE,Decreased,no,NONE,Mice,no
